Step 12800: {'loss': 112.17269134521484, 'l1_loss': 136.952392578125, 'l2_loss': 105.3250732421875}
Step 12900: {'loss': 111.93992614746094, 'l1_loss': 144.07742309570312, 'l2_loss': 104.73605346679688}
Step 13000: {'loss': 111.83970642089844, 'l1_loss': 131.27626037597656, 'l2_loss': 105.27589416503906}
Step 13100: {'loss': 112.48167419433594, 'l1_loss': 149.31097412109375, 'l2_loss': 105.01612854003906}
Step 13200: {'loss': 112.0619888305664, 'l1_loss': 142.02273559570312, 'l2_loss': 104.96085357666016}
Step 13300: {'loss': 111.50907135009766, 'l1_loss': 140.6509246826172, 'l2_loss': 104.47652435302734}
Step 13400: {'loss': 111.51586151123047, 'l1_loss': 131.12828063964844, 'l2_loss': 104.9594497680664}
Step 13500: {'loss': 112.12157440185547, 'l1_loss': 138.90756225585938, 'l2_loss': 105.17619323730469}
Step 13600: {'loss': 111.27352142333984, 'l1_loss': 139.60946655273438, 'l2_loss': 104.29304504394531}
Step 13700: {'loss': 111.26583099365234, 'l1_loss': 142.42567443847656, 'l2_loss': 104.14454650878906}
Step 13800: {'loss': 111.57794189453125, 'l1_loss': 146.19715881347656, 'l2_loss': 104.26808166503906}
Step 13900: {'loss': 112.01077270507812, 'l1_loss': 138.0226593017578, 'l2_loss': 105.1096420288086}
Step 14000: {'loss': 111.61309051513672, 'l1_loss': 147.35797119140625, 'l2_loss': 104.24519348144531}
Step 14100: {'loss': 111.13508605957031, 'l1_loss': 132.42298889160156, 'l2_loss': 104.5139389038086}
Step 14200: {'loss': 111.32746124267578, 'l1_loss': 138.79653930664062, 'l2_loss': 104.38763427734375}
Step 14300: {'loss': 111.17399597167969, 'l1_loss': 133.91929626464844, 'l2_loss': 104.47802734375}
Step 14400: {'loss': 111.04017639160156, 'l1_loss': 142.2269287109375, 'l2_loss': 103.9288330078125}
Step 14500: {'loss': 110.65547943115234, 'l1_loss': 143.889892578125, 'l2_loss': 103.46098327636719}
Step 14600: {'loss': 111.58712768554688, 'l1_loss': 143.6499481201172, 'l2_loss': 104.40463256835938}
Step 14700: {'loss': 111.482177734375, 'l1_loss': 139.7793426513672, 'l2_loss': 104.49320983886719}
Step 14800: {'loss': 111.08883666992188, 'l1_loss': 142.9595947265625, 'l2_loss': 103.94085693359375}
Step 14900: {'loss': 110.2598648071289, 'l1_loss': 136.1326904296875, 'l2_loss': 103.45323181152344}
Step 15000: {'loss': 111.3691177368164, 'l1_loss': 137.84608459472656, 'l2_loss': 104.47681427001953}
Step 15100: {'loss': 111.67913818359375, 'l1_loss': 143.57522583007812, 'l2_loss': 104.50037384033203}
Step 15200: {'loss': 110.9941635131836, 'l1_loss': 138.4875946044922, 'l2_loss': 104.06978607177734}
Step 15300: {'loss': 110.602783203125, 'l1_loss': 137.91354370117188, 'l2_loss': 103.70710754394531}
Step 15400: {'loss': 110.53584289550781, 'l1_loss': 146.04507446289062, 'l2_loss': 103.23358917236328}
Step 15500: {'loss': 110.7931137084961, 'l1_loss': 143.8055419921875, 'l2_loss': 103.60283660888672}
